Field Number 	Field Name 	Field Description 	Units 	Field Data Type 	Field Sampling Rate 	Number of Rows (first file) 	Typical Value 	Number of Rows (Middle file) 	Plot
1 	VAR.1107 	Sync word for subframe 1 		Integer 	0.25 	31 	584 	2103 	Plot 1.png[1]
2 	VAR.2670 	Sync word for subframe 2 		Integer 	0.25 	31 	1465 	2103 	Plot 2.png[2]
3 	VAR.5107 	Sync word for subframe 3 		Integer 	0.25 	31 	2632 	2103 	Plot 3.png[3]
4 	VAR.6670 	Sync word for subframe 4 		Integer 	0.25 	31 	3513 	2103 	Plot 4.png[4]
5 	FPAC 	Flight path acceleration 	G 	Integer 	16 	1984 	0 	134592 	Plot 5.png[5]
6 	BLAC 	Body longitudinal acceleration 	G 	Float 	16 	1984 	0 	134592 	Plot 6.png[6]
7 	CTAC 	Cross track acceleration 	G 	Integer 	16 	1984 	0 	134592 	Plot 7.png[7]
8 	TH 	True heading LSP 	Deg. 	Float 	4 	496 	0 	33648 	Plot 8.png[8]
9 	MH 	Magnetic Heading LSP 	Deg. 	Float 	4 	496 	0 	33648 	Plot 9.png[9]
10 	EGT.1 	Exhaust gas temperature 1 	Deg. 	Integer 	4 	496 	19 	33648 	Plot 10.png[10]
11 	EGT.2 	Exhaust gas temperature 2 	Deg. 	Integer 	4 	496 	19 	33648 	Plot 11.png[11]
12 	EGT.3 	Exhaust gas temperature 3 	Deg. 	Float 	4 	496 	19 	33648 	Plot 12.png[12]
13 	EGT.4 	Exhaust gas temperature 4 	Deg. 	Float 	4 	496 	18.5 	33648 	Plot 13.png[13]
14 	IVV 	Inertial vertical speed LSP 	Ft/min 	Integer 	16 	1984 	0 	134592 	Plot 14.png[14]
15 	GS 	Ground speed LSP 	Knots 	Integer 	4 	496 	0 	33648 	Plot 15.png[15]
16 	TRK 	Track angle true LSP 	Deg. 	Integer 	4 	496 	0 	33648 	Plot 16.png[16]
17 	TRKM 	Track angle mag LSP 	Deg. 	Integer 	4 	496 	0 	33648 	Plot 17.png[17]
18 	DA 	Drift angle 	Deg. 	Integer 	4 	496 	0 	33648 	Plot 18.png[18]
19 	POVT 	Pylon overheat all engines 		Integer 	1 	124 	0 	8412 	Plot 19.png[19]
20 	WS 	Wind speed 	Knots 	Integer 	4 	496 	0 	33648 	Plot 20.png[20]
